,inspection_id,negative_0,negative_1,negative_2,negative_3,negative_4,negative_5,negative_6,negative_7,negative_8,negative_9,negative_10,negative_11,negative_12,negative_13,negative_14,negative_15,negative_16,negative_17,negative_18,negative_19,positive_0,positive_1,positive_2,positive_3,positive_4,positive_5,positive_6,positive_7,positive_8,positive_9,positive_10,positive_11,positive_12,positive_13,positive_14,positive_15,positive_16,positive_17,positive_18,positive_19
1407,DA1764625,0.0,0.0,0.4545,0.2727,0.0,0.0,0.0,0.0,0.0,0.0,0.1818,0.0,0.0,0.0,0.0,0.0909,0.0,0.0,0.0,0.0,0.0909,0.0,0.2727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6364,0.0,0.0,0.0
1408,DA1764701,0.0,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.4,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.7,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
1409,DA1764703,0.0,0.1818,0.0,0.0,0.1818,0.0909,0.0909,0.1818,0.0909,0.0,0.0,0.0,0.0,0.0909,0.0,0.0,0.0,0.0909,0.0,0.0,0.1818,0.3636,0.0909,0.0,0.0,0.0,0.0,0.0,0.0,0.1818,0.0,0.0909,0.0,0.0,0.0909,0.0,0.0,0.0,0.0,0.0
1410,DA1764755,0.0,0.1667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6667,0.0,0.1667,0.0,0.0,0.0,0.0,0.0,0.0,0.1667,0.1667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1667,0.5,0.0,0.0,0.0,0.0,0.0,0.0
1411,DA1764761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
1412,DA1765064,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1413,DA1765102,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.25,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.875,0.0,0.0,0.0,0.0,0.0,0.0
1414,DA1765105,0.0,0.0,0.0,0.0,0.0909,0.0,0.0909,0.0,0.0909,0.0,0.0909,0.0,0.5455,0.0,0.0909,0.0,0.0,0.0,0.0,0.0,0.1818,0.2727,0.0,0.0,0.0,0.0,0.0,0.0,0.0909,0.0,0.0,0.0,0.0909,0.3636,0.0,0.0,0.0,0.0,0.0,0.0
1415,DA1765107,0.0,0.0,0.05,0.0,0.05,0.1,0.0,0.05,0.15,0.0,0.05,0.0,0.35,0.0,0.15,0.0,0.0,0.05,0.0,0.0,0.0,0.25,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.05,0.0,0.0,0.0,0.05,0.0
1416,DA1765110,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
